topic_id	label	terms
0	<Stopwords>	the (0.0007), and (0.0004), a (0.0004), to (0.0003), i (0.0003), you (0.0003), of (0.0003), that (0.0002), he (0.0002), in (0.0002), my (0.0002), it (0.0002), is (0.0002), this (0.0002), not (0.0002), him (0.0002), for (0.0002), his (0.0002), with (0.0002), me (0.0002), be (0.0002), your (0.0002), will (0.0001), are (0.0001), as (0.0001)
1	<Civic Conflict & Roman Politics>	whose (0.0038), citizen (0.0025), antium (0.0025), coriolanus (0.0023), the (0.0022), and (0.0021), slay (0.0016), a (0.0015), to (0.0014), house (0.0014), you (0.0013), he (0.0013), this (0.0012), me (0.0012), i (0.0011), city (0.0011), of (0.0011), my (0.0010), is (0.0010), fair (0.0009), in (0.0009), that (0.0009), dissension (0.0009), interjoin (0.0009), birthplace (0.0009)
2	<Insults, Conflict & Confrontation>	she's (0.0046), thou (0.0044), she (0.0041), well (0.0040), not (0.0025), but (0.0021), clo (0.0020), the (0.0020), is (0.0020), that (0.0019), and (0.0019), very (0.0018), hel (0.0017), art (0.0016), yet (0.0016), quick (0.0016), coward (0.0016), quickly (0.0015), enter (0.0015), send (0.0015), come (0.0015), verie (0.0013), ile (0.0013), things (0.0013), a (0.0013)
3	<Power Struggles>	and (0.0273), i (0.0254), the (0.0243), to (0.0214), you (0.0185), of (0.0163), that (0.0128), my (0.0125), not (0.0121), a (0.0121), is (0.0103), me (0.0102), in (0.0102), with (0.0083), he (0.0082), for (0.0082), it (0.0081), caesar (0.0076), have (0.0075), be (0.0074), your (0.0073), him (0.0072), brutus (0.0072), his (0.0072), but (0.0069)
4	<Domestic Life>	to (0.0116), the (0.0086), i (0.0083), a (0.0083), and (0.0077), nurse (0.0073), be (0.0071), is (0.0062), thou (0.0062), my (0.0058), jul (0.0043), not (0.0040), of (0.0040), you (0.0040), what (0.0038), she (0.0037), me (0.0036), in (0.0034), that (0.0034), your (0.0032), where (0.0031), good (0.0029), news (0.0028), with (0.0026), enter (0.0026)
5	<Medicine>	i (0.0144), the (0.0140), a (0.0124), of (0.0119), doctor (0.0110), her (0.0106), and (0.0084), to (0.0077), in (0.0075), my (0.0065), she (0.0060), gentlewoman (0.0055), good (0.0053), what (0.0051), me (0.0050), your (0.0045), mounsieur (0.0039), bed (0.0038), haue (0.0037), it (0.0035), shy (0.0035), tub (0.0035), tuball (0.0035), you (0.0032), but (0.0029)
6	<Roman Warfare>	the (0.0259), a (0.0138), of (0.0119), and (0.0093), to (0.0060), roman (0.0058), that (0.0057), i (0.0055), in (0.0055), is (0.0053), volsce (0.0053), all (0.0037), it (0.0037), but (0.0033), now (0.0033), you (0.0032), from (0.0029), his (0.0027), scarus (0.0026), with (0.0026), strange (0.0023), more (0.0023), my (0.0021), most (0.0020), enter (0.0020)
7	<Hamlet’s Court>	the (0.0297), and (0.0278), of (0.0249), i (0.0213), to (0.0206), a (0.0159), my (0.0153), you (0.0146), that (0.0131), in (0.0130), is (0.0115), it (0.0111), me (0.0110), not (0.0096), this (0.0089), for (0.0087), with (0.0087), he (0.0073), hamlet (0.0071), but (0.0069), be (0.0069), thou (0.0069), his (0.0066), your (0.0061), him (0.0059)
8	<General Dialogue>	the (0.0339), and (0.0292), to (0.0215), of (0.0175), you (0.0172), i (0.0161), a (0.0131), that (0.0116), in (0.0114), his (0.0093), not (0.0089), he (0.0088), is (0.0088), with (0.0087), my (0.0087), your (0.0085), it (0.0084), have (0.0081), d (0.0078), be (0.0071), for (0.0070), him (0.0069), s (0.0066), but (0.0066), we (0.0063)
9	<Romantic Love>	i (0.0232), and (0.0175), to (0.0145), thou (0.0136), the (0.0131), my (0.0120), that (0.0117), a (0.0093), is (0.0088), thy (0.0087), thee (0.0086), me (0.0079), jul (0.0079), rom (0.0076), love (0.0074), of (0.0073), but (0.0070), not (0.0068), it (0.0067), night (0.0067), o (0.0060), by (0.0058), this (0.0057), for (0.0052), in (0.0051)
10	<General Dialogue>	the (0.0328), and (0.0287), i (0.0279), to (0.0206), a (0.0197), you (0.0189), of (0.0180), my (0.0135), in (0.0129), is (0.0124), that (0.0122), it (0.0100), not (0.0098), me (0.0094), for (0.0092), with (0.0088), this (0.0078), but (0.0078), he (0.0076), your (0.0076), his (0.0073), be (0.0072), as (0.0070), will (0.0063), her (0.0062)
11	<Roman Crowds>	petr (0.0118), to (0.0111), and (0.0109), i (0.0105), citizen (0.0081), you (0.0072), cinna (0.0069), a (0.0069), his (0.0061), hor (0.0059), that (0.0055), luc (0.0049), the (0.0049), for (0.0049), my (0.0049), am (0.0041), is (0.0040), him (0.0039), me (0.0038), kate (0.0034), as (0.0033), bap (0.0033), your (0.0032), name (0.0031), but (0.0029)
12	<Sea Travel>	aboord (0.0009), i (0.0004), the (0.0004), to (0.0004), and (0.0003), you (0.0003), of (0.0003), my (0.0002), is (0.0002), that (0.0002), a (0.0002), in (0.0002), but (0.0002), be (0.0002), your (0.0002), no (0.0002), it (0.0002), for (0.0002), his (0.0002), me (0.0002), will (0.0002), not (0.0001), by (0.0001), with (0.0001), this (0.0001)
13	<Supernatural>	wake (0.0015), and (0.0014), fals (0.0013), when (0.0010), ounce (0.0009), boare (0.0009), sort (0.0009), catte (0.0009), guns (0.0009), hower (0.0009), cawing (0.0009), wak't (0.0009), waked (0.0009), yeelders (0.0009), haunted (0.0009), spie (0.0009), choughes (0.0009), stals (0.0009), skye (0.0009), straightway (0.0009), mimmick (0.0009), lacht (0.0009), finisht (0.0009), mechanicals (0.0009), nole (0.0009)
14	<Murder, Magic, Violence>	murderer (0.0114), the (0.0074), witch (0.0058), third (0.0052), first (0.0049), and (0.0042), second (0.0036), to (0.0031), of (0.0030), light (0.0029), a (0.0028), i (0.0026), fly (0.0025), banquo (0.0023), he (0.0021), enter (0.0020), _ (0.0019), with (0.0019), that (0.0019), fleance (0.0018), three (0.0018), is (0.0018), in (0.0018), when (0.0016), lightning (0.0014)
